
PRODUCT_NAME,AVG(SALES_PRICE)
"APPLE iPhone 8 Plus (Gold, 64 GB)",49900.000000
"APPLE iPhone 8 Plus (Space Grey, 256 GB)",84900.000000
"APPLE iPhone 8 Plus (Silver, 256 GB)",84900.000000
"APPLE iPhone 8 (Silver, 256 GB)",77000.000000
"APPLE iPhone 8 (Gold, 256 GB)",77000.000000
"APPLE iPhone 8 Plus (Space Grey, 64 GB)",49900.000000
"APPLE iPhone 8 (Space Grey, 256 GB)",77000.000000
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",39999.000000
"Apple iPhone XR (Black, 128 GB) (Includes EarPods, Power Adapter)",41999.000000
"APPLE iPhone 11 Pro Max (Gold, 256 GB)",131900.000000
"APPLE iPhone 11 Pro Max (Gold, 64 GB)",117100.000000
"APPLE iPhone 11 Pro Max (Midnight Green, 256 GB)",131900.000000
"APPLE iPhone 11 Pro (Midnight Green, 64 GB)",74999.000000
"APPLE iPhone 11 Pro Max (Midnight Green, 64 GB)",117100.000000
"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)",44999.000000
"APPLE iPhone 12 Pro Max (Pacific Blue, 256 GB)",130900.000000
"APPLE iPhone 12 Mini (White, 128 GB)",64900.000000
"APPLE iPhone 12 (Blue, 128 GB)",75900.000000
"APPLE iPhone 12 Mini (Red, 64 GB)",59900.000000
"APPLE iPhone 12 Pro Max (Gold, 128 GB)",120900.000000
"APPLE iPhone 12 (Black, 64 GB)",70900.000000
"APPLE iPhone 12 Pro Max (Pacific Blue, 128 GB)",120900.000000
"APPLE iPhone 12 Pro Max (Silver, 256 GB)",130900.000000
"APPLE iPhone 11 (Red, 128 GB)",54999.000000
"APPLE iPhone SE (Black, 128 GB)",34999.000000
"APPLE iPhone SE (Black, 64 GB)",29999.000000
"APPLE iPhone 11 (White, 64 GB)",46999.000000
"Apple iPhone XR (Coral, 128 GB) (Includes EarPods, Power Adapter)",41999.000000
"APPLE iPhone 12 Mini (White, 64 GB)",59900.000000
"APPLE iPhone 12 Pro Max (Graphite, 256 GB)",130900.000000
"APPLE iPhone 12 (Black, 128 GB)",75900.000000
"APPLE iPhone 12 Pro (Pacific Blue, 512 GB)",140900.000000
"APPLE iPhone 12 (White, 64 GB)",70900.000000
"APPLE iPhone 12 Pro (Pacific Blue, 128 GB)",110900.000000
"APPLE iPhone 12 Pro Max (Gold, 256 GB)",130900.000000
"APPLE iPhone 11 (Black, 64 GB)",46999.000000
"APPLE iPhone 12 (White, 128 GB)",75900.000000
"APPLE iPhone SE (White, 128 GB)",34999.000000
"APPLE iPhone 12 (Green, 128 GB)",75900.000000
"APPLE iPhone 8 Plus (Silver, 64 GB)",49900.000000
"Apple iPhone XR ((PRODUCT)RED, 128 GB) (Includes EarPods, Power Adapter)",41999.000000
"APPLE iPhone 11 Pro Max (Space Grey, 64 GB)",117100.000000
"APPLE iPhone 11 Pro (Space Grey, 256 GB)",99900.000000
"APPLE iPhone 12 Pro (Silver, 512 GB)",140900.000000
"APPLE iPhone 12 Pro (Graphite, 256 GB)",120900.000000
"APPLE iPhone 12 Pro Max (Graphite, 128 GB)",120900.000000
"APPLE iPhone 11 (White, 128 GB)",54999.000000
"APPLE iPhone SE (Red, 128 GB)",34999.000000
"APPLE iPhone 11 (Black, 128 GB)",54999.000000
"APPLE iPhone XS Max (Silver, 64 GB)",89900.000000
"Apple iPhone XR (White, 128 GB) (Includes EarPods, Power Adapter)",41999.000000
"APPLE iPhone 11 Pro (Space Grey, 512 GB)",117900.000000
"APPLE iPhone 11 Pro (Midnight Green, 512 GB)",117900.000000
"APPLE iPhone 12 Pro (Graphite, 128 GB)",110900.000000
"APPLE iPhone 12 Mini (Black, 128 GB)",64900.000000
"APPLE iPhone 11 (Purple, 64 GB)",46999.000000
"APPLE iPhone 11 (Red, 64 GB)",46999.000000
"APPLE iPhone 12 Mini (Blue, 128 GB)",64900.000000
"APPLE iPhone 12 Mini (Black, 64 GB)",59900.000000
"APPLE iPhone 12 Pro Max (Silver, 128 GB)",120900.000000
"APPLE iPhone 12 (Red, 128 GB)",75900.000000
"APPLE iPhone SE (White, 64 GB)",29999.000000
